id,goal,domain,roadmap
1,Frontend Dev - Path Variant 1,Frontend Development,"Foundations: CSS Grid; Responsive design; Accessibility basics (WCAG); CSS Box model; CSS Flexbox; HTML5 semantic tags | JavaScript Core: Async JS: Promises/async-await; Closures & scope; Prototypes & inheritance; ES6+: let/const, arrow functions; DOM manipulation; Event loop & call stack | Frameworks: Performance optimization (memo, lazy); Routing & lazy loading; Capstone: Build a Frontend Dev portfolio project integrating core skills; State management: Context/Redux; React: JSX, components, hooks | Styling & UX: Design systems; Tailwind / utility CSS; CSS-in-JS; Component libraries (Material, Chakra) | Testing & Tooling: Webpack/Vite basics; ESLint/Prettier; CICD for frontend; Jest & React Testing Library | Deployment: Monitoring & Sentry; A/B testing basics; Build optimization; CDN usage"
2,Frontend Dev - Path Variant 2,Frontend Development,"Foundations: Accessibility basics (WCAG); CSS Box model; Capstone: Build a Frontend Dev portfolio project integrating core skills; Responsive design; CSS Flexbox; HTML5 semantic tags; CSS Grid | JavaScript Core: Prototypes & inheritance; DOM manipulation; Closures & scope; ES6+: let/const, arrow functions; Async JS: Promises/async-await; Event loop & call stack | Frameworks: State management: Context/Redux; React: JSX, components, hooks; Performance optimization (memo, lazy); Routing & lazy loading | Styling & UX: Tailwind / utility CSS; Component libraries (Material, Chakra); Design systems; CSS-in-JS | Testing & Tooling: ESLint/Prettier; Webpack/Vite basics; CICD for frontend; Jest & React Testing Library | Deployment: Build optimization; CDN usage; Monitoring & Sentry; A/B testing basics"
3,Frontend Dev - Path Variant 3,Frontend Development,"Foundations: Accessibility basics (WCAG); CSS Grid; Responsive design; HTML5 semantic tags; Capstone: Build a Frontend Dev portfolio project integrating core skills; CSS Box model; CSS Flexbox | JavaScript Core: ES6+: let/const, arrow functions; Prototypes & inheritance; DOM manipulation; Async JS: Promises/async-await; Event loop & call stack; Closures & scope | Frameworks: React: JSX, components, hooks; Performance optimization (memo, lazy); Routing & lazy loading; State management: Context/Redux | Styling & UX: Tailwind / utility CSS; Design systems; Component libraries (Material, Chakra); CSS-in-JS | Testing & Tooling: Webpack/Vite basics; Jest & React Testing Library; ESLint/Prettier; CICD for frontend | Deployment: A/B testing basics; CDN usage; Build optimization; Monitoring & Sentry"
4,Frontend Dev - Path Variant 4,Frontend Development,"Foundations: CSS Flexbox; HTML5 semantic tags; Responsive design; CSS Box model; CSS Grid; Accessibility basics (WCAG) | JavaScript Core: ES6+: let/const, arrow functions; Closures & scope; Async JS: Promises/async-await; Prototypes & inheritance; Event loop & call stack; DOM manipulation | Frameworks: Routing & lazy loading; React: JSX, components, hooks; State management: Context/Redux; Performance optimization (memo, lazy) | Styling & UX: CSS-in-JS; Component libraries (Material, Chakra); Design systems; Tailwind / utility CSS | Testing & Tooling: ESLint/Prettier; Webpack/Vite basics; CICD for frontend; Capstone: Build a Frontend Dev portfolio project integrating core skills; Jest & React Testing Library | Deployment: CDN usage; Build optimization; Monitoring & Sentry; A/B testing basics"
5,Frontend Dev - Path Variant 5,Frontend Development,"Foundations: CSS Box model; HTML5 semantic tags; Accessibility basics (WCAG); CSS Flexbox; CSS Grid; Responsive design | JavaScript Core: Event loop & call stack; Closures & scope; Async JS: Promises/async-await; Prototypes & inheritance; DOM manipulation; ES6+: let/const, arrow functions | Frameworks: Routing & lazy loading; React: JSX, components, hooks; Capstone: Build a Frontend Dev portfolio project integrating core skills; State management: Context/Redux; Performance optimization (memo, lazy) | Styling & UX: Tailwind / utility CSS; CSS-in-JS; Component libraries (Material, Chakra); Design systems | Testing & Tooling: CICD for frontend; ESLint/Prettier; Webpack/Vite basics; Jest & React Testing Library | Deployment: Monitoring & Sentry; A/B testing basics; Build optimization; CDN usage"
6,Frontend Dev - Path Variant 6,Frontend Development,"Foundations: CSS Grid; CSS Box model; CSS Flexbox; HTML5 semantic tags; Accessibility basics (WCAG); Responsive design | JavaScript Core: Closures & scope; Async JS: Promises/async-await; Event loop & call stack; DOM manipulation; Prototypes & inheritance; ES6+: let/const, arrow functions | Frameworks: Routing & lazy loading; State management: Context/Redux; Performance optimization (memo, lazy); React: JSX, components, hooks | Styling & UX: Design systems; Component libraries (Material, Chakra); CSS-in-JS; Tailwind / utility CSS | Testing & Tooling: Jest & React Testing Library; Webpack/Vite basics; CICD for frontend; ESLint/Prettier | Deployment: Build optimization; A/B testing basics; Monitoring & Sentry; CDN usage"
7,Frontend Dev - Path Variant 7,Frontend Development,"Foundations: HTML5 semantic tags; CSS Box model; Responsive design; CSS Grid; CSS Flexbox; Accessibility basics (WCAG) | JavaScript Core: Capstone: Build a Frontend Dev portfolio project integrating core skills; Async JS: Promises/async-await; DOM manipulation; Event loop & call stack; Prototypes & inheritance; ES6+: let/const, arrow functions; Closures & scope | Frameworks: State management: Context/Redux; Routing & lazy loading; Performance optimization (memo, lazy); React: JSX, components, hooks | Styling & UX: Design systems; Component libraries (Material, Chakra); Tailwind / utility CSS; CSS-in-JS | Testing & Tooling: Jest & React Testing Library; ESLint/Prettier; CICD for frontend; Webpack/Vite basics | Deployment: Build optimization; A/B testing basics; Monitoring & Sentry; CDN usage"
8,Frontend Dev - Path Variant 8,Frontend Development,"Foundations: Responsive design; CSS Flexbox; HTML5 semantic tags; CSS Box model; Accessibility basics (WCAG); CSS Grid | JavaScript Core: Event loop & call stack; ES6+: let/const, arrow functions; Closures & scope; DOM manipulation; Async JS: Promises/async-await; Prototypes & inheritance | Frameworks: Routing & lazy loading; State management: Context/Redux; Performance optimization (memo, lazy); React: JSX, components, hooks | Styling & UX: Tailwind / utility CSS; Design systems; Component libraries (Material, Chakra); CSS-in-JS | Testing & Tooling: Webpack/Vite basics; ESLint/Prettier; Jest & React Testing Library; CICD for frontend | Deployment: CDN usage; Monitoring & Sentry; Build optimization; A/B testing basics"
9,Frontend Dev - Path Variant 9,Frontend Development,"Foundations: CSS Box model; CSS Grid; CSS Flexbox; Accessibility basics (WCAG); HTML5 semantic tags; Responsive design | JavaScript Core: ES6+: let/const, arrow functions; Prototypes & inheritance; DOM manipulation; Async JS: Promises/async-await; Event loop & call stack; Closures & scope | Frameworks: State management: Context/Redux; Routing & lazy loading; React: JSX, components, hooks; Performance optimization (memo, lazy) | Styling & UX: CSS-in-JS; Design systems; Tailwind / utility CSS; Component libraries (Material, Chakra) | Testing & Tooling: ESLint/Prettier; Webpack/Vite basics; Jest & React Testing Library; CICD for frontend | Deployment: CDN usage; A/B testing basics; Monitoring & Sentry; Build optimization"
10,Frontend Dev - Path Variant 10,Frontend Development,"Foundations: CSS Box model; Responsive design; CSS Flexbox; CSS Grid; Accessibility basics (WCAG); HTML5 semantic tags | JavaScript Core: Capstone: Build a Frontend Dev portfolio project integrating core skills; Async JS: Promises/async-await; Prototypes & inheritance; Event loop & call stack; Closures & scope; ES6+: let/const, arrow functions; DOM manipulation | Frameworks: Routing & lazy loading; React: JSX, components, hooks; Performance optimization (memo, lazy); State management: Context/Redux | Styling & UX: Component libraries (Material, Chakra); CSS-in-JS; Design systems; Tailwind / utility CSS | Testing & Tooling: Jest & React Testing Library; ESLint/Prettier; Webpack/Vite basics; CICD for frontend | Deployment: Build optimization; A/B testing basics; Monitoring & Sentry; CDN usage"
